District_PSA,District,Police_Service_Area
11,1,1
12,1,2
21,2,1
22,2,2
23,2,3
31,3,1
32,3,2
33,3,3
51,5,1
52,5,2
53,5,3
61,6,1
62,6,2
63,6,3
71,7,1
72,7,2
73,7,3
81,8,1
82,8,2
83,8,3
91,9,1
92,9,2
93,9,3
94,9,4
95,9,5
121,12,1
122,12,2
123,12,3
124,12,4
141,14,1
142,14,2
143,14,3
144,14,4
151,15,1
152,15,2
153,15,3
161,16,1
162,16,2
163,16,3
171,17,1
172,17,2
173,17,3
181,18,1
182,18,2
183,18,3
191,19,1
192,19,2
193,19,3
221,22,1
222,22,2
223,22,3
224,22,4
241,24,1
242,24,2
243,24,3
251,25,1
252,25,2
253,25,3
254,25,4
261,26,1
262,26,2
263,26,3
351,35,1
352,35,2
353,35,3
391,39,1
392,39,2
393,39,3
