school_id,SCHOOL_NAME,SCHOOL_NAME_LABEL,TYPE,TYPE_SPECIFIC
2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL,1,DISTRICT
5230,"CONWELL, RUSSELL MIDDLE SCHOOL",RUSSELL H. CONWELL SCHOOL,1,DISTRICT
7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1,DISTRICT
6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,1,DISTRICT
5470,"CRAMP, WILLIAM SCHOOL",WILLIAM CRAMP SCHOOL,1,DISTRICT
6955,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN,3,PRIVATE
7510,"BETHUNE, MARY MCLEOD SCHOOL",MARY M. BETHUNE SCHOOL,1,DISTRICT
4220,"BLAINE, JAMES G. SCHOOL",JAMES G. BLAINE SCHOOL,1,DISTRICT
1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,1,DISTRICT
5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1,DISTRICT
2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1,DISTRICT
7470,BRIDESBURG SCHOOL,BRIDESBURG SCHOOL,1,DISTRICT
5210,"BROWN, HENRY A. SCHOOL",HENRY A. BROWN SCHOOL,1,DISTRICT
8210,"BROWN, JOSEPH H. SCHOOL",JOSEPH H. BROWN SCHOOL,1,DISTRICT
1230,"BRYANT, WILLIAM C. SCHOOL",WILLIAM C. BRYANT SCHOOL,1,DISTRICT
5610,BUILDING 21,BUILDING 21,1,DISTRICT
7220,"CARNELL, LAURA H. SCHOOL",LAURA H. CARNELL SCHOOL,1,DISTRICT
4240,"CASSIDY,LEWIS C ACADEMICS PLUS",LEWIS C. CASSIDY ACADEMICS PLUS SCHOOL,1,DISTRICT
1250,"CATHARINE, JOSEPH SCHOOL",JOSEPH W. CATHARINE SCHOOL,1,DISTRICT
5490,CAYUGA SCHOOL,CAYUGA SCHOOL,1,DISTRICT
6010,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL,1,DISTRICT
2260,"CHILDS, GEORGE W. SCHOOL",GEORGE W. CHILDS SCHOOL,1,DISTRICT
7730,"CLEMENTE, ROBERTO MIDDLE SCHOOL",ROBERTO CLEMENTE SCHOOL,1,DISTRICT
1260,"COMEGYS, BENJAMIN B. SCHOOL",BENJAMIN B. COMEGYS SCHOOL,1,DISTRICT
8370,"COMLY, WATSON SCHOOL",WATSON COMLY SCHOOL,1,DISTRICT
2370,"MCDANIEL, DELAPLAINE SCHOOL",DELAPLAINE MCDANIEL SCHOOL,1,DISTRICT
5350,"MCKINLEY, WILLIAM SCHOOL",WILLIAM MCKINLEY SCHOOL,1,DISTRICT
4570,"MEADE, GEN. GEORGE G. SCHOOL",GENERAL GEORGE G. MEADE SCHOOL,1,DISTRICT
2380,"MEREDITH, WILLIAM M. SCHOOL",WILLIAM M. MEREDITH SCHOOL,1,DISTRICT
6320,"MIFFLIN, THOMAS SCHOOL",THOMAS MIFFLIN SCHOOL,1,DISTRICT
1370,MITCHELL ELEMENTARY SCHOOL,S. WEIR MITCHELL SCHOOL,1,DISTRICT
5370,"MOFFET, JOHN SCHOOL",JOHN MOFFET SCHOOL,1,DISTRICT
8310,"MOORE, J. HAMPTON SCHOOL",J. HAMPTON MOORE SCHOOL,1,DISTRICT
2390,"MORRIS, ROBERT SCHOOL",ROBERT MORRIS SCHOOL,1,DISTRICT
7390,"MORRISON, ANDREW J. SCHOOL",ANDREW J. MORRISON SCHOOL,1,DISTRICT
1380,"MORTON, THOMAS G. SCHOOL",THOMAS G. MORTON SCHOOL,1,DISTRICT
1190,MOTIVATION HIGH SCHOOL,MOTIVATION HIGH SCHOOL,1,DISTRICT
5680,"MUNOZ-MARIN, HON LUIS SCHOOL",HONORABLE LUIS MUNOZ-MARIN SCHOOL,1,DISTRICT
1580,MYA-MIDDLE YEARS ALTERNATIVE,MIDDLE YEARS ALTERNATIVE SCHOOL,1,DISTRICT
2590,"NEBINGER, GEORGE W. SCHOOL",GEORGE W. NEBINGER SCHOOL,1,DISTRICT
8780,PHILADELPHIA VIRTUAL ACADEMY,PHILADELPHIA VIRTUAL ACADEMY,1,DISTRICT
8410,"POLLOCK, ROBERT B. SCHOOL",ROBERT B. POLLOCK SCHOOL,1,DISTRICT
2690,"TAGGART, JOHN H. SCHOOL",JOHN H. TAGGART SCHOOL,1,DISTRICT
7440,"TAYLOR, BAYARD SCHOOL",BAYARD TAYLOR SCHOOL,1,DISTRICT
5660,THE LINC,THE LINC,1,DISTRICT
5620,THE U SCHOOL,THE U SCHOOL,1,DISTRICT
8560,THE WORKSHOP SCHOOL,THE WORKSHOP SCHOOL,1,DISTRICT
1130,TILDEN MIDDLE SCHOOL,WILLIAM T. TILDEN SCHOOL,1,DISTRICT
2020,CREATIVE AND PERFORMING ARTS,HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS SCHOOL,1,DISTRICT
3308,BELMONT ACADEMY CHARTER SCHOOL,BELMONT ACADEMY CHARTER SCHOOL,2,CHARTER
3322,PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),PHILADELPHIA ACADEMY CHARTER SCHOOL,2,CHARTER
8400,"FRANK, ANNE SCHOOL",ANNE FRANK SCHOOL,1,DISTRICT
7010,FRANKFORD HIGH SCHOOL,FRANKFORD HIGH SCHOOL,1,DISTRICT
2290,FRANKLIN LEARNING CENTER,FRANKLIN LEARNING CENTER,1,DISTRICT
2010,"FRANKLIN, BENJAMIN HIGH SCHOOL",BENJAMIN FRANKLIN HIGH SCHOOL,1,DISTRICT
7280,"FRANKLIN, BENJAMIN SCHOOL",BENJAMIN FRANKLIN SCHOOL,1,DISTRICT
2160,"FURNESS, HORACE HIGH SCHOOL",FURNESS HIGH SCHOOL,1,DISTRICT
4530,"GIDEON, EDWARD SCHOOL",EDWARD GIDEON SCHOOL,1,DISTRICT
2410,GIRARD ACADEMIC MUSIC PROGRAM,GIRARD ACADEMIC MUSIC PROGRAM,1,DISTRICT
2320,"GIRARD, STEPHEN SCHOOL",STEPHEN GIRARD SCHOOL,1,DISTRICT
6050,"GIRLS, PHILA HIGH SCHOOL FOR",PHILADELPHIA HIGH SCHOOL FOR GIRLS,1,DISTRICT
4280,"GOMPERS, SAMUEL SCHOOL",SAMUEL GOMPERS SCHOOL,1,DISTRICT
3327,LAB SCH OF COMMUNICAT'N & LANG (East Falls Campus),LABORATORY CHARTER SCHOOL OF COMMUNICATION AND LANGUAGES (EAST FALLS),2,CHARTER
8320,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,1,DISTRICT
3374,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),2,CHARTER
3810,ONE BRIGHT RAY-ELMWOOD CAMPUS,ONE BRIGHT RAY - ELMWOOD CAMPUS,1,CONTRACTED
8190,ONE BRIGHT RAY-FAIRHILL CAMPUS,ONE BRIGHT RAY - FAIRHILL CAMPUS,1,CONTRACTED
