Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Percent_Students_Receiving_Zero_Out_of_School_Suspensions
2022-2023,1250,Joseph W. Catharine School,Elementary School,Catchment,447,409,35.1,36.5,18.9,20.0,67.6,64.0,18.9,14.8,35.4,33.9,61.5,66.7,100.0
2022-2023,1380,Thomas G. Morton School,Elementary School,Catchment,424,367,35.6,38.9,25.4,24.6,80.3,70.4,6.6,8.3,29.8,40.4,92.3,59.0,96.5
2022-2023,1390,Samuel Powel School,Elementary School,Catchment,317,295,8.5,14.3,66.0,56.1,21.3,22.5,55.3,51.0,17.7,62.8,76.9,79.5,99.7
2022-2023,1400,John M. Patterson School,Elementary School,Catchment,420,355,39.1,39.8,20.3,22.8,64.2,58.2,11.9,14.2,20.9,44.8,38.5,57.6,97.6
2022-2023,2320,Stephen Girard School,Elementary School,Catchment,336,291,25.8,29.8,36.4,34.7,46.3,46.4,26.9,28.0,15.8,52.6,92.3,54.2,100.0
2022-2023,2520,Abram S. Jenks School,Elementary School,Catchment,252,241,4.6,5.0,61.4,61.4,22.7,16.7,59.1,62.8,2.9,88.6,53.9,83.7,100.0
2022-2023,2540,Francis S. Key School,Elementary School,Catchment,415,375,41.7,26.4,25.0,31.7,58.0,50.7,24.0,20.0,18.9,43.4,76.9,64.1,99.8
2022-2023,3308,Inquiry Charter School,Elementary School,Citywide,273,268,24.4,25.2,29.3,37.0,46.3,47.1,29.3,25.2,20.9,55.8,33.3,79.9,98.9
2022-2023,3378,Philadelphia Montessori Charter School,Elementary School,Citywide,279,238,16.3,20.8,20.9,24.7,65.1,63.6,7.0,10.4,24.2,48.5,41.7,52.7,96.1
2022-2023,3408,Mastery Charter School at Mann,Elementary School,Catchment,564,534,29.0,28.5,31.9,26.5,61.4,65.4,15.7,7.4,25.6,28.1,75.0,69.3,86.4
2022-2023,3409,Mastery Charter School at Smedley,Elementary School,Catchment,808,770,39.2,27.3,26.5,32.7,63.7,58.3,16.7,15.6,22.5,50.0,75.0,64.6,93.9
2022-2023,3415,Mastery Charter School at Clymer,Elementary School,Catchment,483,452,62.0,43.6,18.0,15.0,76.5,73.2,7.8,5.2,41.9,19.4,41.7,58.2,92.6
2022-2023,3427,Mastery Charter School at Wister,Elementary School,Catchment,564,509,32.9,37.3,27.1,23.1,60.0,59.4,16.5,14.3,24.0,38.7,75.0,55.0,88.3
2022-2023,3436,KIPP Octavius Catto Charter School,Elementary School,Citywide,210,197,,,,,,,,,,,,49.5,100.0
2022-2023,3437,KIPP North Philadelphia Charter School,Elementary School,Citywide,630,582,48.2,45.6,15.7,18.4,70.9,66.8,5.8,9.8,26.5,27.6,16.7,34.6,89.1
2022-2023,3438,Deep Roots Charter School,Elementary School,Citywide With Criteria,313,287,43.5,43.6,17.4,13.5,60.9,69.5,13.0,10.7,20.9,34.9,66.7,40.3,87.5
2022-2023,3439,Mastery Prep Elementary Charter School,Elementary School,Citywide,582,545,36.0,31.0,21.3,26.8,58.1,60.8,12.2,10.2,11.1,50.0,66.7,75.4,81.4
2022-2023,3446,Philadelphia Hebrew Public Charter School,Elementary School,Citywide,437,414,32.3,33.1,30.2,27.8,59.6,59.5,16.2,17.0,26.4,43.4,70.0,65.9,94.5
2022-2023,4380,Thomas M. Peirce School,Elementary School,Catchment,273,243,31.4,37.9,14.3,15.2,60.0,73.2,8.6,2.4,37.0,14.8,76.9,49.1,97.8
2022-2023,4470,Richard R. Wright School,Elementary School,Catchment,302,255,42.6,43.6,14.9,15.0,76.6,67.4,6.4,9.9,37.5,33.3,100.0,46.7,95.7
2022-2023,5260,Lewis Elkin School,Elementary School,Catchment,622,537,53.1,58.8,5.3,5.6,84.1,83.6,1.8,2.4,41.6,15.8,92.3,42.3,97.8
2022-2023,5300,Horatio B. Hackett School,Elementary School,Catchment,385,359,19.1,22.2,67.7,54.4,23.5,28.9,66.2,50.3,15.1,60.4,69.2,79.2,99.7
2022-2023,5370,John Moffet School,Elementary School,Catchment,275,250,23.5,16.5,38.2,45.0,44.1,35.8,26.5,28.4,9.5,66.7,61.5,69.1,100.0
2022-2023,5400,Richmond School,Elementary School,Catchment,409,362,17.0,23.0,35.6,39.3,37.3,43.2,39.0,24.0,11.8,47.1,76.9,55.3,98.0
2022-2023,5410,Isaac A. Sheppard School,Elementary School,Catchment,152,140,50.0,51.9,7.1,9.3,48.2,54.7,11.1,9.4,11.5,46.2,92.3,55.3,96.7
2022-2023,5440,Frances E. Willard School,Elementary School,Catchment,490,444,36.1,40.4,9.6,14.0,69.4,65.1,9.4,11.4,29.2,37.1,69.2,45.7,96.5
2022-2023,5470,William Cramp School,Elementary School,Catchment,395,345,37.3,42.7,22.0,18.5,68.9,69.6,11.5,8.1,20.8,27.1,76.9,47.1,95.7
2022-2023,5490,Cayuga School,Elementary School,Catchment,380,333,42.2,39.6,11.1,13.8,61.7,67.9,4.3,8.0,25.0,47.9,69.2,66.1,97.1
2022-2023,5530,Gloria Casarez Elementary School,Elementary School,Catchment,532,457,46.6,54.1,6.9,9.7,85.0,79.9,5.0,7.0,40.5,25.7,46.2,49.6,98.7
2022-2023,5590,John H. Webster School,Elementary School,Catchment,549,482,36.0,38.9,10.7,18.0,66.7,60.7,13.3,15.2,20.3,50.0,76.9,45.2,95.8
2022-2023,6220,Eleanor C. Emlen School,Elementary School,Catchment,326,287,34.5,29.8,25.9,25.8,55.2,53.0,19.0,15.2,16.1,44.6,84.6,60.7,99.1
2022-2023,6300,James Logan School,Elementary School,Catchment,272,235,35.6,41.1,26.7,19.4,55.6,67.7,22.2,11.5,30.0,27.5,76.9,63.2,99.6
2022-2023,6340,Joseph Pennell School,Elementary School,Catchment,324,285,27.8,37.5,25.9,20.1,69.1,57.9,18.2,15.9,39.0,29.3,84.6,51.5,98.2
2022-2023,6470,John B. Kelly School,Elementary School,Catchment,381,337,40.7,35.1,25.9,26.6,60.0,53.9,10.9,15.4,19.6,57.1,92.3,51.7,94.0
2022-2023,7200,Clara Barton School,Elementary School,Catchment,579,522,,,,,,,,,,,,64.4,100.0
2022-2023,7220,Laura H. Carnell School,Elementary School,Catchment,817,706,33.3,43.5,18.3,16.7,53.6,62.6,18.6,13.9,43.2,20.0,84.6,56.7,97.8
2022-2023,7260,Ellwood School,Elementary School,Catchment,299,278,36.0,28.9,30.0,23.7,68.5,62.0,16.7,11.0,25.0,39.6,76.9,69.2,99.7
2022-2023,7310,Feltonville Intermediate School,Elementary School,Catchment,573,525,43.8,38.4,15.7,18.8,63.4,60.2,16.3,13.8,30.5,33.1,61.5,71.4,98.1
2022-2023,7320,Julia W. Howe School,Elementary School,Catchment,233,206,26.7,38.1,40.0,26.2,46.7,59.5,20.0,17.9,28.6,35.7,100.0,61.8,99.6
2022-2023,7330,Henry W. Lawton School,Elementary School,Catchment,639,564,37.4,35.6,20.5,22.6,61.6,58.3,11.6,15.3,23.6,38.9,69.2,63.2,98.6
2022-2023,7350,James R. Lowell School,Elementary School,Catchment,551,494,30.8,39.0,25.6,19.2,64.3,59.3,11.9,11.9,22.9,43.8,84.6,63.9,99.3
2022-2023,7360,John Marshall School,Elementary School,Catchment,323,241,47.4,54.9,15.8,11.5,59.5,77.2,10.8,5.7,37.2,18.6,46.2,40.3,92.3
2022-2023,7380,Alexander K. McClure School,Elementary School,Catchment,529,476,58.7,56.9,6.4,9.5,85.9,76.4,3.1,4.3,34.7,29.2,46.2,53.9,97.0
2022-2023,7430,James J. Sullivan School,Elementary School,Catchment,492,405,48.3,51.8,10.3,14.2,69.5,69.4,10.2,9.2,27.7,21.5,84.6,43.3,97.6
2022-2023,7440,Bayard Taylor School,Elementary School,Catchment,435,385,46.7,47.0,10.0,9.8,78.3,71.3,1.7,4.8,17.0,41.5,46.2,47.8,99.1
2022-2023,7490,Prince Hall School,Elementary School,Catchment,416,379,24.3,35.8,31.1,22.3,66.7,65.5,16.0,10.8,23.0,37.7,92.3,63.0,98.8
2022-2023,7530,William Rowen School,Elementary School,Catchment,373,324,37.5,25.8,21.4,28.3,53.6,52.8,14.3,13.2,10.7,53.6,69.2,58.7,99.2
2022-2023,8230,Kennedy C. Crossan School,Elementary School,Catchment,350,314,34.7,24.1,24.5,38.3,58.0,41.3,24.0,30.1,13.6,63.6,53.9,70.9,98.3
2022-2023,8250,Edwin Forrest School,Elementary School,Catchment,881,782,29.2,32.4,23.3,24.4,58.7,54.0,16.5,16.7,25.4,39.8,69.2,54.7,98.9
2022-2023,8260,Fox Chase School,Elementary School,Catchment,499,446,9.9,16.2,57.8,47.7,23.3,28.7,43.8,38.6,12.7,68.3,76.9,74.6,99.2
2022-2023,8310,J. Hampton Moore School,Elementary School,Catchment,1240,1131,28.2,26.8,31.3,35.3,47.3,46.2,28.5,25.5,21.1,48.1,38.5,68.8,99.4
2022-2023,8340,Solomon Solis-Cohen School,Elementary School,Catchment,1362,1249,37.1,38.9,19.1,24.3,53.4,53.3,18.1,19.2,30.9,33.8,61.5,67.6,99.3
2022-2023,8360,Rhawnhurst School,Elementary School,Catchment,672,601,31.1,29.6,36.7,39.3,45.5,41.4,36.4,34.6,11.4,62.0,46.2,68.5,100.0
2022-2023,8370,Watson Comly School,Elementary School,Catchment,620,563,15.3,14.9,52.9,50.0,19.4,22.1,51.6,47.2,5.9,74.1,61.5,80.2,99.5
2022-2023,8400,Anne Frank School,Elementary School,Catchment,1529,1343,12.0,11.5,54.6,62.2,18.1,16.4,52.0,54.5,11.3,74.5,69.2,81.0,100.0
2022-2023,8440,William H. Loesche School,Elementary School,Catchment,1130,972,22.1,17.9,49.3,52.7,25.0,20.6,51.2,50.9,12.1,58.9,69.2,82.0,99.7
