Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions
2022-2023,1200,John Barry School,K-8 School,Catchment,602,500,58.0,43.5,10.0,14.0,79.1,81.4,4.7,4.1,42.9,21.4,64.3,37.5,3,96.8
2022-2023,1230,William C. Bryant School,K-8 School,Catchment,407,329,27.3,28.7,21.2,16.6,61.3,74.2,6.5,2.2,50.0,20.0,85.7,44.2,3,91.4
2022-2023,1260,Benjamin B. Comegys School,K-8 School,Catchment,365,319,30.0,28.9,13.3,16.8,62.1,76.7,10.3,5.2,38.2,25.5,57.1,33.7,1,85.2
2022-2023,1280,Sadie Alexander School,K-8 School,Catchment,586,578,5.6,2.9,83.3,85.4,6.9,8.9,81.9,77.1,6.7,89.2,57.1,96.6,0,100.0
2022-2023,1290,Andrew Hamilton School,K-8 School,Catchment,406,347,33.3,33.8,14.8,16.9,77.8,78.8,7.4,3.3,36.1,30.2,85.7,45.1,0,94.8
2022-2023,1300,Avery D. Harrington School,K-8 School,Catchment,395,338,34.8,33.8,21.7,24.5,69.6,73.9,13.0,8.4,43.4,22.4,92.9,55.2,1,91.9
2022-2023,1340,Henry C. Lea School,K-8 School,Catchment,500,451,34.0,28.2,32.1,39.4,56.1,58.4,24.6,21.2,27.8,48.6,71.4,69.0,1,94.4
2022-2023,1350,William C. Longstreth School,K-8 School,Catchment,301,249,47.6,32.2,4.8,16.4,,73.8,,3.5,40.7,35.2,50.0,54.2,1,87.7
2022-2023,1360,Morton McMichael School,K-8 School,Catchment,337,279,33.3,35.6,30.3,16.0,66.7,79.2,27.3,7.1,46.7,16.7,71.4,41.5,1,90.2
2022-2023,1370,S. Weir Mitchell School,K-8 School,Catchment,401,338,33.3,38.1,7.4,14.9,75.0,87.4,0.0,3.7,47.5,24.6,42.9,34.9,0,92.5
2022-2023,1410,James Rhoads School,K-8 School,Catchment,516,419,36.4,35.6,16.4,19.6,72.7,73.5,9.1,8.2,42.2,33.3,64.3,41.3,1,93.4
2022-2023,1420,Martha Washington School,K-8 School,Catchment,276,223,,33.5,,21.5,65.0,63.0,20.0,9.3,48.2,28.6,41.7,43.1,1,93.8
2022-2023,1440,Penrose School,K-8 School,Catchment,474,401,40.5,30.7,35.7,24.9,48.8,69.0,24.4,7.9,48.4,25.8,50.0,46.2,1,86.7
2022-2023,1460,Add B. Anderson School,K-8 School,Catchment,456,385,42.4,38.0,15.2,15.7,63.9,74.9,0.0,3.7,48.6,15.3,50.0,48.0,1,88.8
2022-2023,1470,Alain Locke School,K-8 School,Catchment,351,282,29.6,36.1,33.3,20.5,63.0,72.7,33.3,12.1,41.4,20.7,64.3,47.3,0,97.7
2022-2023,1490,Rudolph Blankenburg School,K-8 School,Catchment,305,240,41.7,30.8,20.8,16.6,76.0,76.0,12.0,4.7,43.1,31.0,57.1,41.0,1,86.2
