Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,Percent_11th_Grade_Students_Proficient_All_Three_Keystones,Percent_11th_Grade_Students_Below_Basic_Keystone_Algebra_I,Percent_11th_Grade_Students_Proficient_Keystone_Algebra_I,Percent_11th_Grade_Students_Below_Basic_Keystone_Biology,Percent_11th_Grade_Students_Proficient_Keystone_Biology,Percent_11th_Grade_Students_Below_Basic_Keystone_Literature,Percent_11th_Grade_Students_Proficient_Keystone_Literature,Percent_12th_Grade_CTE_Students_Meeting_Industry_Standards,Ninth_Grade_On_Track_Rate,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions,Percent_Students_Completing_the_FAFSA_by_End_of_12th_Grade,First_Fall_Matriculation,Four_Year_Cohort_Graduation_Rate
2022-2023,1020,West Philadelphia High School,High School,Catchment,608,545,0.0,54.1,9.8,63.8,10.3,35.6,17.0,20.0,76.1,38.5,30.3,34,94.6,30.5,41.5,82.1
2022-2023,2010,Benjamin Franklin High School,High School,Catchment,586,464,2.3,69.1,10.7,69.2,11.5,55.4,13.3,44.4,57.1,53.9,34.0,49,93.2,22.0,21.1,71.4
2022-2023,2020,High School for Creative and Performing Arts,High School,Criteria-Based,750,744,28.4,11.1,38.3,8.3,55.6,0.6,78.4,65.0,96.1,25.0,76.9,13,97.1,53.4,69.0,99.5
2022-2023,2290,Franklin Learning Center,High School,Criteria-Based,909,882,21.0,13.1,31.0,17.8,40.4,7.5,73.3,84.9,85.5,61.5,60.1,40,97.3,37.4,58.2,87.0
2022-2023,2650,Science Leadership Academy,High School,Criteria-Based,497,497,51.6,0.0,69.4,2.5,69.4,0.0,96.7,69.6,97.7,53.9,88.1,1,96.2,58.1,74.8,98.3
2022-2023,2680,The Science Leadership Academy at Beeber,High School,Criteria-Based,454,442,30.1,8.3,39.5,11.7,54.1,3.5,83.2,46.4,87.5,69.2,82.2,15,98.9,50.5,67.4,93.7
2022-2023,3417,Universal Charter School at Audenried,High School,Catchment,580,550,14.8,20.9,24.4,43.5,21.7,18.4,57.0,37.1,88.1,54.6,67.1,2,88.1,24.2,25.2,80.8
2022-2023,4060,Murrell Dobbins Career and Technical High School,High School,Citywide,913,890,0.6,64.3,4.8,80.5,2.6,46.0,16.8,39.1,70.8,30.8,32.6,59,85.5,31.7,26.2,80.2
2022-2023,5020,Thomas A. Edison High School,High School,Catchment,1066,880,1.7,53.7,13.9,67.1,6.8,48.9,17.4,31.3,57.6,46.2,25.9,101,84.0,12.2,16.7,60.6
2022-2023,5060,Jules E. Mastbaum Area Vocational Technical High School,High School,Citywide,603,570,6.7,51.1,6.7,51.2,17.9,28.2,31.8,49.4,62.2,53.9,34.7,60,85.6,21.4,20.3,81.2
2022-2023,5090,Parkway West High School,High School,Criteria-Based,242,227,0.0,35.0,2.5,33.3,25.6,8.1,46.0,93.8,37.5,53.9,52.1,12,93.8,44.1,55.8,91.1
2022-2023,5550,Kensington Health Sciences Academy,High School,Catchment,478,434,2.0,51.0,3.1,43.8,10.4,22.3,39.4,26.5,71.0,53.9,42.5,19,89.8,45.9,48.2,78.3
2022-2023,5620,The U School,High School,Citywide,238,229,0.0,32.4,2.9,62.1,3.5,14.7,41.2,5.0,60.6,75.0,32.4,13,93.3,34.8,35.6,86.0
2022-2023,6030,Roxborough High School,High School,Catchment,817,708,2.9,50.5,6.1,58.3,5.2,22.0,34.0,28.1,60.8,69.2,33.9,55,78.7,19.8,28.1,64.5
2022-2023,6040,Walter B. Saul High School,High School,Criteria-Based,512,503,6.1,42.1,6.1,33.6,32.7,6.1,62.6,59.3,74.8,41.7,64.7,10,92.0,52.5,56.4,96.7
2022-2023,6090,A. Philip Randolph Career and Technical High School,High School,Citywide,400,393,1.1,55.4,1.2,73.2,4.9,31.0,23.0,46.0,77.9,30.8,41.8,14,86.8,17.1,16.9,79.6
2022-2023,7010,Frankford High School,High School,Catchment,1223,917,0.0,65.0,5.8,68.9,5.8,36.1,19.8,50.0,60.7,58.3,34.8,92,91.6,29.8,29.5,59.2
2022-2023,8010,Abraham Lincoln High School,High School,Catchment,2363,2167,6.0,42.6,17.3,50.3,18.2,29.2,32.3,52.4,62.0,38.5,47.4,148,88.1,26.2,40.1,67.3
2022-2023,8030,George Washington High School,High School,Catchment,2074,1702,10.4,33.6,26.0,46.1,19.8,20.5,35.8,90.9,60.6,38.5,61.6,167,92.0,35.7,42.9,71.8
2022-2023,8090,Swenson Arts and Technology High School,High School,Citywide,778,772,9.4,35.2,14.1,36.1,23.9,17.1,56.7,70.0,89.9,53.9,64.5,8,96.5,42.2,45.0,98.0
