"district_psa","average_percent_attending_90","average_percent_proficient_all_keystones","crime_group","total_crimes"
"011","61","11.85","Drug_and_Vice_Crimes","20"
"011","61","11.85","Public_Order_Crimes","11"
"011","61","11.85","Other_Crimes","145"
"011","61","11.85","Violent_Crimes","244"
"011","61","11.85","Property_Crimes","609"
"021","43.9","1.2","Property_Crimes","1028"
"021","43.9","1.2","Drug_and_Vice_Crimes","10"
"021","43.9","1.2","Violent_Crimes","459"
"021","43.9","1.2","Public_Order_Crimes","9"
"021","43.9","1.2","Other_Crimes","192"
"023","58.8","20.8","Public_Order_Crimes","8"
"023","58.8","20.8","Property_Crimes","1489"
"023","58.8","20.8","Drug_and_Vice_Crimes","19"
"023","58.8","20.8","Violent_Crimes","333"
"023","58.8","20.8","Other_Crimes","199"
"031","81.80000000000001","42.05","Property_Crimes","532"
"031","81.80000000000001","42.05","Public_Order_Crimes","3"
"031","81.80000000000001","42.05","Drug_and_Vice_Crimes","6"
"031","81.80000000000001","42.05","Violent_Crimes","129"
"031","81.80000000000001","42.05","Other_Crimes","88"
"032","53.6","9.9","Other_Crimes","151"
"032","53.6","9.9","Drug_and_Vice_Crimes","8"
"032","53.6","9.9","Public_Order_Crimes","4"
"032","53.6","9.9","Property_Crimes","881"
"032","53.6","9.9","Violent_Crimes","218"
"033","50.8","4.3500000000000005","Other_Crimes","175"
"033","50.8","4.3500000000000005","Public_Order_Crimes","15"
"033","50.8","4.3500000000000005","Property_Crimes","843"
"033","50.8","4.3500000000000005","Drug_and_Vice_Crimes","24"
"033","50.8","4.3500000000000005","Violent_Crimes","392"
"052","33.9","2.9","Other_Crimes","48"
"052","33.9","2.9","Drug_and_Vice_Crimes","1"
"052","33.9","2.9","Property_Crimes","325"
"052","33.9","2.9","Violent_Crimes","98"
"052","33.9","2.9","Public_Order_Crimes","3"
"053","66.80000000000001","12","Drug_and_Vice_Crimes","2"
"053","66.80000000000001","12","Property_Crimes","219"
"053","66.80000000000001","12","Other_Crimes","53"
"053","66.80000000000001","12","Violent_Crimes","65"
"073","70.26666666666667","31.3","Other_Crimes","146"
"073","70.26666666666667","31.3","Public_Order_Crimes","1"
"073","70.26666666666667","31.3","Drug_and_Vice_Crimes","6"
"073","70.26666666666667","31.3","Violent_Crimes","146"
"073","70.26666666666667","31.3","Property_Crimes","579"
"081","72.5","13","Property_Crimes","635"
"081","72.5","13","Public_Order_Crimes","8"
"081","72.5","13","Other_Crimes","113"
"081","72.5","13","Drug_and_Vice_Crimes","21"
"081","72.5","13","Violent_Crimes","297"
"082","64.5","9.4","Other_Crimes","176"
"082","64.5","9.4","Violent_Crimes","237"
"082","64.5","9.4","Property_Crimes","889"
"082","64.5","9.4","Drug_and_Vice_Crimes","8"
