"district_psa","average_ela_proficiency","average_math_proficiency","average_percent_attending_90"
"011","34.7","28","54.2"
"021","26","19.7","62.75"
"023","37.4","30.625","70.4"
"033","46.55","41.4","73.9"
"072","62.2","54.5","81"
"073","51.35","49.05","81.1"
"121","22.8","14.2","57.6"
"122","22.35","12.600000000000001","59.7"
"123","24.6","8.3","59"
"141","27.05","14.2","59.7"
"142","23.1","14.3","55"
"151","22.1","10.65","52.449999999999996"
"152","18.4","12.25","53.25"
"153","24.4","16.7","54.7"
"161","46.55","38.1","79.7"
"193","26.5","7.4","69.3"
"221","18.4","9.8","34.6"
"222","15","9.9","46.7"
"241","13.85","11.1","47.400000000000006"
"242","9.8","6.9","44"
"243","39.3","24","55.3"
"251","11.65","6.15","60"
"252","18.8","13.8","71.4"
"253","13.9","8.75","51.2"
"254","12.4","5","53"
"262","45","28.4","69.1"
"263","54.4","50.3","79.2"
"351","23.03333333333333","13.6","64.96666666666665"
"353","20.599999999999998","12.733333333333334","59.23333333333333"
"391","26.6","15.4","51.7"
"393","15.2","2.4","49.1"
