"district_psa","average_percent_attending_90","average_percent_proficient_all_keystones","total_crimes"
"011","61","11.85","1029"
"021","43.9","1.2","1698"
"023","58.8","20.8","2048"
"031","81.80000000000001","42.05","758"
"032","53.6","9.9","1262"
"033","50.8","4.3500000000000005","1449"
"052","33.9","2.9","475"
"053","66.80000000000001","12","339"
"073","70.26666666666667","31.3","878"
"081","72.5","13","1074"
"082","64.5","9.4","1313"
"083","75.9","30.8","932"
"091","71.08","26.78","1194"
"092","73.45","16.4","1306"
"093","54.3","7.8","1232"
"095","56.65","4.7","307"
"123","33.7","4.2","1816"
"124","62.15","6.55","1142"
"141","55.25","0.65","1717"
"144","71","12.7","823"
"151","45.2","2.3","2175"
"152","66.1","22.96666666666667","2666"
"153","47.4","6","2036"
"161","43.4","4.8","1167"
"162","52.1","0","1398"
"172","67.1","14.8","549"
"181","36.7","1.7","1054"
"182","41.65","7.8","1216"
"183","67.7","15.8","1566"
"191","82.2","30.1","1399"
"192","52","4.2","2434"
"193","34.95","5.15","1515"
"221","52.9","10.325","2166"
"224","33.8","0","1076"
"241","60.2","19.25","1955"
"242","34.7","6.7","1970"
"251","60.5","21.7","1059"
"252","43.8","7","1480"
"253","49.8","0","1654"
"261","32.4","0","900"
"262","78.4","14.3","1300"
"263","40.400000000000006","4.475","1446"
"353","74.6","22.85","1290"
"391","49","3.9","1489"
"392","53.75","2","1598"
