"dispatch_date","crime_group","frequency"
"2023-12-31","Property_Crimes","30"
"2023-12-31","Violent_Crimes","21"
"2023-12-31","Other_Crimes","11"
"2024-01-01","Property_Crimes","209"
"2024-01-01","Violent_Crimes","136"
"2024-01-01","Other_Crimes","44"
"2024-01-01","Public_Order_Crimes","4"
"2024-01-01","Drug_and_Vice_Crimes","3"
"2024-01-02","Property_Crimes","274"
"2024-01-02","Violent_Crimes","103"
"2024-01-02","Other_Crimes","56"
"2024-01-02","Drug_and_Vice_Crimes","11"
"2024-01-02","Public_Order_Crimes","2"
"2024-01-03","Property_Crimes","226"
"2024-01-03","Violent_Crimes","120"
"2024-01-03","Other_Crimes","93"
"2024-01-03","Drug_and_Vice_Crimes","20"
"2024-01-03","Public_Order_Crimes","1"
"2024-01-04","Property_Crimes","234"
"2024-01-04","Violent_Crimes","108"
"2024-01-04","Other_Crimes","77"
"2024-01-04","Drug_and_Vice_Crimes","23"
"2024-01-04","Public_Order_Crimes","3"
"2024-01-05","Property_Crimes","194"
"2024-01-05","Violent_Crimes","96"
"2024-01-05","Other_Crimes","73"
"2024-01-05","Drug_and_Vice_Crimes","16"
"2024-01-05","Public_Order_Crimes","3"
"2024-01-06","Property_Crimes","186"
"2024-01-06","Violent_Crimes","70"
"2024-01-06","Other_Crimes","47"
"2024-01-06","Drug_and_Vice_Crimes","14"
"2024-01-06","Public_Order_Crimes","4"
"2024-01-07","Property_Crimes","192"
"2024-01-07","Violent_Crimes","89"
"2024-01-07","Other_Crimes","32"
"2024-01-07","Drug_and_Vice_Crimes","3"
"2024-01-07","Public_Order_Crimes","2"
"2024-01-08","Property_Crimes","256"
"2024-01-08","Violent_Crimes","91"
"2024-01-08","Other_Crimes","51"
"2024-01-08","Drug_and_Vice_Crimes","9"
"2024-01-08","Public_Order_Crimes","4"
"2024-01-09","Property_Crimes","208"
"2024-01-09","Violent_Crimes","89"
"2024-01-09","Other_Crimes","48"
"2024-01-09","Drug_and_Vice_Crimes","13"
"2024-01-09","Public_Order_Crimes","3"
"2024-01-10","Property_Crimes","205"
"2024-01-10","Violent_Crimes","119"
"2024-01-10","Other_Crimes","62"
"2024-01-10","Drug_and_Vice_Crimes","28"
"2024-01-10","Public_Order_Crimes","4"
"2024-01-11","Property_Crimes","237"
"2024-01-11","Violent_Crimes","119"
"2024-01-11","Other_Crimes","81"
"2024-01-11","Drug_and_Vice_Crimes","17"
"2024-01-11","Public_Order_Crimes","6"
"2024-01-12","Property_Crimes","221"
"2024-01-12","Violent_Crimes","105"
"2024-01-12","Other_Crimes","67"
"2024-01-12","Drug_and_Vice_Crimes","24"
"2024-01-12","Public_Order_Crimes","4"
"2024-01-13","Property_Crimes","228"
"2024-01-13","Violent_Crimes","87"
"2024-01-13","Other_Crimes","50"
"2024-01-13","Drug_and_Vice_Crimes","17"
"2024-01-13","Public_Order_Crimes","3"
"2024-01-14","Property_Crimes","196"
"2024-01-14","Violent_Crimes","93"
"2024-01-14","Other_Crimes","37"
"2024-01-14","Public_Order_Crimes","4"
"2024-01-14","Drug_and_Vice_Crimes","4"
"2024-01-15","Property_Crimes","247"
"2024-01-15","Violent_Crimes","85"
"2024-01-15","Other_Crimes","50"
"2024-01-15","Drug_and_Vice_Crimes","7"
"2024-01-15","Public_Order_Crimes","2"
"2024-01-16","Property_Crimes","157"
"2024-01-16","Violent_Crimes","80"
"2024-01-16","Other_Crimes","37"
"2024-01-16","Drug_and_Vice_Crimes","16"
"2024-01-16","Public_Order_Crimes","3"
"2024-01-17","Property_Crimes","192"
"2024-01-17","Violent_Crimes","90"
"2024-01-17","Other_Crimes","60"
"2024-01-17","Drug_and_Vice_Crimes","21"
"2024-01-17","Public_Order_Crimes","1"
"2024-01-18","Property_Crimes","179"
"2024-01-18","Other_Crimes","106"
"2024-01-18","Violent_Crimes","97"
"2024-01-18","Drug_and_Vice_Crimes","19"
"2024-01-18","Public_Order_Crimes","3"
"2024-01-19","Property_Crimes","136"
"2024-01-19","Violent_Crimes","83"
"2024-01-19","Other_Crimes","43"
"2024-01-19","Drug_and_Vice_Crimes","4"
"2024-01-19","Public_Order_Crimes","4"
"2024-01-20","Property_Crimes","176"
"2024-01-20","Violent_Crimes","79"
"2024-01-20","Other_Crimes","63"
"2024-01-20","Drug_and_Vice_Crimes","9"
"2024-01-20","Public_Order_Crimes","5"
"2024-01-21","Property_Crimes","193"
"2024-01-21","Violent_Crimes","100"
"2024-01-21","Other_Crimes","44"
"2024-01-21","Drug_and_Vice_Crimes","9"
"2024-01-21","Public_Order_Crimes","1"
"2024-01-22","Property_Crimes","238"
"2024-01-22","Violent_Crimes","108"
"2024-01-22","Other_Crimes","74"
"2024-01-22","Drug_and_Vice_Crimes","13"
"2024-01-22","Public_Order_Crimes","3"
"2024-01-23","Property_Crimes","234"
"2024-01-23","Violent_Crimes","98"
"2024-01-23","Other_Crimes","97"
"2024-01-23","Drug_and_Vice_Crimes","14"
"2024-01-23","Public_Order_Crimes","4"
"2024-01-24","Property_Crimes","223"
"2024-01-24","Violent_Crimes","114"
"2024-01-24","Other_Crimes","78"
"2024-01-24","Drug_and_Vice_Crimes","14"
"2024-01-24","Public_Order_Crimes","2"
"2024-01-25","Property_Crimes","230"
"2024-01-25","Violent_Crimes","119"
"2024-01-25","Other_Crimes","72"
"2024-01-25","Drug_and_Vice_Crimes","12"
"2024-01-25","Public_Order_Crimes","1"
"2024-01-26","Property_Crimes","200"
"2024-01-26","Violent_Crimes","106"
"2024-01-26","Other_Crimes","55"
"2024-01-26","Drug_and_Vice_Crimes","13"
"2024-01-27","Property_Crimes","226"
"2024-01-27","Violent_Crimes","99"
"2024-01-27","Other_Crimes","62"
"2024-01-27","Drug_and_Vice_Crimes","12"
"2024-01-27","Public_Order_Crimes","2"
"2024-01-28","Property_Crimes","229"
"2024-01-28","Violent_Crimes","93"
"2024-01-28","Other_Crimes","40"
"2024-01-28","Public_Order_Crimes","3"
"2024-01-28","Drug_and_Vice_Crimes","1"
"2024-01-29","Property_Crimes","247"
"2024-01-29","Violent_Crimes","122"
