"District_PSA","Average_ELA_Proficiency","Average_Math_Proficiency","Average_Percent_Attending_90","Total_Crimes"
"11","59.3","39.550000000000004","97.5","1029"
"123","20.95","4.1","68.65","1816"
"144","59.1","20.4","82.1","823"
"151","20.2","4.6","54.5","2175"
"161","56","21","95","1167"
"162","38","14.6","74.3","1398"
"182","30.7","5.6","64.4","1216"
"191","73.5","41.4","94.7","1399"
"192","31.8","6","58.9","2434"
"221","90.5","46.3","90.6","2166"
"23","36.8","14.7","70.3","2048"
"242","47","13.9","74.4","1970"
"243","30.4","11.7","64.1","1238"
"252","20.3","6","69.3","1480"
"253","7","0.7","47.4","1654"
"262","24.2","3.8","75","1300"
"263","26.5","4.8","45.5","1446"
"351","21.2","5.8","75.3","1375"
"353","18","1.9","56.8","1290"
"391","26.8","8.3","56.5","1489"
"392","29.2","12","72.2","1598"
"51","52.7","16.3","77.9","461"
"72","57.1","36.2","78.1","767"
"91","94","81.9","94.8","1194"
"93","27.9","6.3","66.6","1232"
"95","32.1","16","59.2","307"
