X,Y,OBJECTID,ASSET_ADDR,ASSET_NAME,OPA_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,ASSET_ID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,BUILDINGID,SECONDARYSITE_ID,PRIMARYSITE_ID,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,SITE_ACRES,SERVING_TYPE,EDITNOTE1,EDITDATE,EDITSOURCE,EDITOR,NOT_PUBLIC,STATUS
-75.15227332,39.97857522,1,1737 N 11TH ST,11th & Cecil B. Moore Playground Stands,,11th & Cecil B. Moore Playground,,,3557,,,,,,,,,,,Y,,PPR,PPR,,,5.181687,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.22314739,39.91994857,2,2800 S 63RD ST,63rd & Lindbergh Storage Building 2,,63rd & Lindbergh Park,,,3576,,,,,,,,,,,Y,,PPR,PPR,,,3.120685,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.22340205,39.92023651,3,2800 S 63RD ST,63rd & Lindbergh Storage Building 1,,63rd & Lindbergh Park,,,3575,,,,,,,,,,,Y,,PPR,PPR,,,3.120685,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.24296592,39.91003375,4,2604 ISLAND AVE,75th & Chelwynde Park,,75th & Chelwynde Park,,,3472,,,,,,,,,,,Y,,PPR,PPR,,,0.813847,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.24068552,40.05930973,5,600 PORT ROYAL AVE,Al Pearlman Sports Center Barn,,Al Pearlman Sports Center,,,3760,,,,,,,,,,,Y,,PPR,PPR,,,7.021886,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.24109348,40.05944826,6,600 PORT ROYAL AVE,Al Pearlman Sports Center Shed,,Al Pearlman Sports Center,,,3761,,,,,,,,,,,Y,,PPR,PPR,,,7.021886,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.23367973,40.07856662,7,9750 FORBIDDEN DR,Andorra Natural Area,,Andorra Natural Area,,,3668,,,,,,,,,,,Y,,PPR,PPR,,,157.131099,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.22940472,39.9634734,8,5430 RACE ST,Ann P. Nichols Park Gazebo,,Ann P. Nichols Park,,,3591,,,,,,,,,,,Y,,PPR,PPR,,,0.885609,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.08547871,40.07642543,9,7966 OXFORD AVE,Barnes & Loney Gazebo,,Northeast Lions Park,,,3595,,,,,,,,,,,Y,,PPR,PPR,,,0.384659,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.17226064,39.96005793,10,2051 BENJAMIN FRANKLIN PKY,Barnes Foundation Museum,,Barnes Foundation Museum,,,2805,,,,,,,,,,,Y,,PPR,PPR,,,5.387681,,,2019/10/23 17:40:51+00,PPR,TL,,
-75.21275313,39.92995214,11,2999 S 56TH ST,Bartram's Garden Green Resource Center,,Bartram's Garden,,,3762,,,,,,,,,,,Y,,PPR,PPR,,,45.822091,,,2019/10/23 17:40:55+00,PPR,TL,,
-75.15168718,39.95016578,12,15 S 7TH ST,Atwater Kent Museum,,Atwater Kent Museum,,,3473,,,,,,,,,,,Y,,PPR,PPR,,,0.44449,,,2019/10/23 17:41:00+00,PPR,TL,,
-75.21421384,39.93017209,13,2999 S 56TH ST,Bartram's Garden Greenhouse 2,,Bartram's Garden,,,3522,,,,,,,,,,,Y,,PPR,PPR,,,45.822091,,,2019/10/23 17:41:03+00,PPR,TL,,
-75.21443732,39.92716427,14,3101 S 56TH ST,Bartram's South,,Bartram's South,,,3493,,,,,,,,,,,Y,,PPR,PPR,,,14.477736,,,2019/10/23 00:00:00+00,PPR,TL,,
-75.15609208,40.04261439,15,2109 W CHEW AVE,Belfield Recreation Center Storage Building,,Balfield Recreation Center,,,3562,,,,,,,,,,,Y,,PPR,PPR,,,4.014729,,,2019/10/23 00:00:00+00,PPR,TL,,
