"District_PSA","Average_Percent_Attending_90","Average_Percent_Proficient_All_Keystones","Total_Crimes"
"151","34.8","0","2175"
"153","47.4","6","2036"
"162","52.1","0","1398"
"172","67.1","14.8","549"
"182","30.3","0","1216"
"191","82.2","30.1","1399"
"221","32.6","0.6","2166"
"242","34.7","6.7","1970"
"252","25.9","1.7","1480"
"261","32.4","0","900"
"263","42.5","2","1446"
"31","76.9","28.4","758"
"392","41.8","1.1","1598"
"52","33.9","2.9","475"
"53","64.7","6.1","339"
"73","61.6","10.4","878"
"82","64.5","9.4","1313"
"91","60.73333333333333","24.96666666666667","1194"
