"Dispatch_Date","Crime_Group","Frequency"
"2023-12-31","Property Crimes","30"
"2023-12-31","Violent Crimes","21"
"2023-12-31","Other Crimes","11"
"2024-01-01","Property Crimes","209"
"2024-01-01","Violent Crimes","136"
"2024-01-01","Other Crimes","44"
"2024-01-01","Public Order Crimes","4"
"2024-01-01","Drug and Vice Crimes","3"
"2024-01-02","Property Crimes","274"
"2024-01-02","Violent Crimes","103"
"2024-01-02","Other Crimes","56"
"2024-01-02","Drug and Vice Crimes","11"
"2024-01-02","Public Order Crimes","2"
"2024-01-03","Property Crimes","226"
"2024-01-03","Violent Crimes","120"
"2024-01-03","Other Crimes","93"
"2024-01-03","Drug and Vice Crimes","20"
"2024-01-03","Public Order Crimes","1"
"2024-01-04","Property Crimes","234"
"2024-01-04","Violent Crimes","108"
"2024-01-04","Other Crimes","77"
"2024-01-04","Drug and Vice Crimes","23"
"2024-01-04","Public Order Crimes","3"
"2024-01-05","Property Crimes","194"
"2024-01-05","Violent Crimes","96"
"2024-01-05","Other Crimes","73"
"2024-01-05","Drug and Vice Crimes","16"
"2024-01-05","Public Order Crimes","3"
"2024-01-06","Property Crimes","186"
"2024-01-06","Violent Crimes","70"
"2024-01-06","Other Crimes","47"
"2024-01-06","Drug and Vice Crimes","14"
"2024-01-06","Public Order Crimes","4"
"2024-01-07","Property Crimes","192"
"2024-01-07","Violent Crimes","89"
"2024-01-07","Other Crimes","32"
"2024-01-07","Drug and Vice Crimes","3"
"2024-01-07","Public Order Crimes","2"
"2024-01-08","Property Crimes","256"
"2024-01-08","Violent Crimes","91"
"2024-01-08","Other Crimes","51"
"2024-01-08","Drug and Vice Crimes","9"
"2024-01-08","Public Order Crimes","4"
"2024-01-09","Property Crimes","208"
"2024-01-09","Violent Crimes","89"
"2024-01-09","Other Crimes","48"
"2024-01-09","Drug and Vice Crimes","13"
"2024-01-09","Public Order Crimes","3"
"2024-01-10","Property Crimes","205"
"2024-01-10","Violent Crimes","119"
"2024-01-10","Other Crimes","62"
"2024-01-10","Drug and Vice Crimes","28"
"2024-01-10","Public Order Crimes","4"
"2024-01-11","Property Crimes","237"
"2024-01-11","Violent Crimes","119"
"2024-01-11","Other Crimes","81"
"2024-01-11","Drug and Vice Crimes","17"
"2024-01-11","Public Order Crimes","6"
"2024-01-12","Property Crimes","221"
"2024-01-12","Violent Crimes","105"
"2024-01-12","Other Crimes","67"
"2024-01-12","Drug and Vice Crimes","24"
"2024-01-12","Public Order Crimes","4"
"2024-01-13","Property Crimes","228"
"2024-01-13","Violent Crimes","87"
"2024-01-13","Other Crimes","50"
"2024-01-13","Drug and Vice Crimes","17"
"2024-01-13","Public Order Crimes","3"
"2024-01-14","Property Crimes","196"
"2024-01-14","Violent Crimes","93"
"2024-01-14","Other Crimes","37"
"2024-01-14","Drug and Vice Crimes","4"
"2024-01-14","Public Order Crimes","4"
"2024-01-15","Property Crimes","247"
"2024-01-15","Violent Crimes","85"
"2024-01-15","Other Crimes","50"
"2024-01-15","Drug and Vice Crimes","7"
"2024-01-15","Public Order Crimes","2"
"2024-01-16","Property Crimes","157"
"2024-01-16","Violent Crimes","80"
"2024-01-16","Other Crimes","37"
"2024-01-16","Drug and Vice Crimes","16"
"2024-01-16","Public Order Crimes","3"
"2024-01-17","Property Crimes","192"
"2024-01-17","Violent Crimes","90"
"2024-01-17","Other Crimes","60"
"2024-01-17","Drug and Vice Crimes","21"
"2024-01-17","Public Order Crimes","1"
"2024-01-18","Property Crimes","179"
"2024-01-18","Other Crimes","106"
"2024-01-18","Violent Crimes","97"
"2024-01-18","Drug and Vice Crimes","19"
"2024-01-18","Public Order Crimes","3"
"2024-01-19","Property Crimes","136"
"2024-01-19","Violent Crimes","83"
"2024-01-19","Other Crimes","43"
"2024-01-19","Public Order Crimes","4"
"2024-01-19","Drug and Vice Crimes","4"
"2024-01-20","Property Crimes","176"
"2024-01-20","Violent Crimes","79"
"2024-01-20","Other Crimes","63"
"2024-01-20","Drug and Vice Crimes","9"
"2024-01-20","Public Order Crimes","5"
"2024-01-21","Property Crimes","193"
"2024-01-21","Violent Crimes","100"
"2024-01-21","Other Crimes","44"
"2024-01-21","Drug and Vice Crimes","9"
"2024-01-21","Public Order Crimes","1"
"2024-01-22","Property Crimes","238"
"2024-01-22","Violent Crimes","108"
"2024-01-22","Other Crimes","74"
"2024-01-22","Drug and Vice Crimes","13"
"2024-01-22","Public Order Crimes","3"
"2024-01-23","Property Crimes","234"
"2024-01-23","Violent Crimes","98"
"2024-01-23","Other Crimes","97"
"2024-01-23","Drug and Vice Crimes","14"
"2024-01-23","Public Order Crimes","4"
"2024-01-24","Property Crimes","223"
"2024-01-24","Violent Crimes","114"
"2024-01-24","Other Crimes","78"
"2024-01-24","Drug and Vice Crimes","14"
"2024-01-24","Public Order Crimes","2"
"2024-01-25","Property Crimes","230"
"2024-01-25","Violent Crimes","119"
"2024-01-25","Other Crimes","72"
"2024-01-25","Drug and Vice Crimes","12"
"2024-01-25","Public Order Crimes","1"
"2024-01-26","Property Crimes","200"
"2024-01-26","Violent Crimes","106"
"2024-01-26","Other Crimes","55"
"2024-01-26","Drug and Vice Crimes","13"
"2024-01-27","Property Crimes","226"
"2024-01-27","Violent Crimes","99"
"2024-01-27","Other Crimes","62"
"2024-01-27","Drug and Vice Crimes","12"
"2024-01-27","Public Order Crimes","2"
"2024-01-28","Property Crimes","229"
"2024-01-28","Violent Crimes","93"
"2024-01-28","Other Crimes","40"
"2024-01-28","Public Order Crimes","3"
"2024-01-28","Drug and Vice Crimes","1"
"2024-01-29","Property Crimes","247"
"2024-01-29","Violent Crimes","122"
"2024-01-29","Other Crimes","70"
"2024-01-29","Drug and Vice Crimes","21"
"2024-01-29","Public Order Crimes","2"
"2024-01-30","Property Crimes","216"
"2024-01-30","Violent Crimes","114"
"2024-01-30","Other Crimes","85"
"2024-01-30","Drug and Vice Crimes","12"
"2024-01-30","Public Order Crimes","4"
"2024-01-31","Property Crimes","223"
"2024-01-31","Violent Crimes","118"
"2024-01-31","Other Crimes","67"
