OBJECTID,school_id,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC,geometry,District,District_PSA
70,2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL,18 S 7TH ST,19106,(215) 400-7850,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1523359999574 39.9502520000276),9,95
71,5230,"CONWELL, RUSSELL MIDDLE SCHOOL",RUSSELL H. CONWELL SCHOOL,1849 E CLEARFIELD ST,19134,(215) 400-7210,MIDDLE SCHOOL,8-May,1,DISTRICT,POINT (-75.1148200223767 39.9944190479345),24,242
72,7100,"COOKE, JAY ELEMENTARY SCHOOL",JAY COOKE SCHOOL,1300 W LOUDON ST,19141,(215) 400-8330,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1460740001465 40.0255260001875),35,352
73,6410,COOK-WISSAHICKON SCHOOL,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,(215) 400-3430,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2068019997144 40.0224720000888),5,51
74,5470,"CRAMP, WILLIAM SCHOOL",WILLIAM CRAMP SCHOOL,3449 N MASCHER ST,19140,(215) 400-3860,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.12993625036739 40.0026291206135),25,253
76,6955,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN,HIGH ROAD SCHOOL OF PHILADELPHIA- GERMANTOWN,5612 GREENE ST,19144,(267) 270-4665,MIDDLE/HIGH,12-Jun,3,PRIVATE,POINT (-75.1764454724389 40.0336765476524),14,143
97,7510,"BETHUNE, MARY MCLEOD SCHOOL",MARY M. BETHUNE SCHOOL,3301 OLD YORK RD,19140,(215) 400-3890,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1481843568952 40.0036406776715),25,254
98,4220,"BLAINE, JAMES G. SCHOOL",JAMES G. BLAINE SCHOOL,3001 W BERKS ST,19121,(215) 400-7330,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1831230017859 39.9853002642558),22,222
99,1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,4600 W GIRARD AVE,19131,(215) 400-7280,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2151434499055 39.9726290989846),16,162
100,5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1101 N 4TH ST,19123,(215) 400-7630,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1431779114975 39.9680504922372),26,262
101,2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1700 BIGLER ST,19145,(215) 400-8210,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.17670508385341 39.9145523452285),1,12
