district_psa,district,police_service_area
011,1,1
012,1,2
021,2,1
022,2,2
023,2,3
031,3,1
032,3,2
033,3,3
051,5,1
052,5,2
053,5,3
061,6,1
062,6,2
063,6,3
071,7,1
072,7,2
073,7,3
081,8,1
082,8,2
083,8,3
091,9,1
092,9,2
093,9,3
094,9,4
095,9,5
121,12,1
122,12,2
123,12,3
124,12,4
141,14,1
142,14,2
143,14,3
144,14,4
151,15,1
152,15,2
153,15,3
161,16,1
162,16,2
163,16,3
171,17,1
172,17,2
173,17,3
181,18,1
182,18,2
183,18,3
191,19,1
192,19,2
193,19,3
221,22,1
222,22,2
223,22,3
224,22,4
241,24,1
242,24,2
243,24,3
251,25,1
252,25,2
253,25,3
254,25,4
261,26,1
262,26,2
263,26,3
351,35,1
352,35,2
353,35,3
391,39,1
392,39,2
393,39,3
