ucr_code,general_crime_category,crime_group
100,['Homicide - Criminal' 'Homicide - Justifiable'],['Violent_Crimes']
200,['Rape'],['Violent_Crimes']
300,['Robbery Firearm' 'Robbery No Firearm'],['Violent_Crimes']
400,['Aggravated Assault No Firearm' 'Aggravated Assault Firearm'],['Violent_Crimes']
500,['Burglary Non-Residential' 'Burglary Residential'],['Property_Crimes']
600,['Thefts' 'Theft from Vehicle'],['Property_Crimes']
700,['Motor Vehicle Theft'],['Property_Crimes']
800,['Other Assaults'],['Violent_Crimes']
900,['Arson'],['Property_Crimes']
1000,['Forgery and Counterfeiting'],['Property_Crimes']
1100,['Fraud'],['Other_Crimes']
1200,['Embezzlement'],['Other_Crimes']
1300,['Receiving Stolen Property'],['Property_Crimes']
1400,['Vandalism/Criminal Mischief'],['Property_Crimes']
1500,['Weapon Violations'],['Other_Crimes']
1600,['Prostitution and Commercialized Vice'],['Drug_and_Vice_Crimes']
1700,['Other Sex Offenses (Not Commercialized)'],['Drug_and_Vice_Crimes']
1800,['Narcotic / Drug Law Violations'],['Drug_and_Vice_Crimes']
1900,['Gambling Violations'],['Drug_and_Vice_Crimes']
2000,['Offenses Against Family and Children'],['Other_Crimes']
2100,['DRIVING UNDER THE INFLUENCE'],['Public_Order_Crimes']
2200,['Liquor Law Violations'],['Public_Order_Crimes']
2300,['Public Drunkenness'],['Public_Order_Crimes']
2400,['Disorderly Conduct'],['Public_Order_Crimes']
2500,['Vagrancy/Loitering'],['Public_Order_Crimes']
2600,['All Other Offenses'],['Other_Crimes']
