district_psa,district,police_service_area
1-1,1,1
1-2,1,2
2-1,2,1
2-2,2,2
2-3,2,3
3-1,3,1
3-2,3,2
3-3,3,3
5-1,5,1
5-2,5,2
5-3,5,3
6-1,6,1
6-2,6,2
6-3,6,3
7-1,7,1
7-2,7,2
7-3,7,3
8-1,8,1
8-2,8,2
8-3,8,3
9-1,9,1
9-2,9,2
9-3,9,3
9-4,9,4
9-5,9,5
12-1,12,1
12-2,12,2
12-3,12,3
12-4,12,4
14-1,14,1
14-2,14,2
14-3,14,3
14-4,14,4
15-1,15,1
15-2,15,2
15-3,15,3
16-1,16,1
16-2,16,2
16-3,16,3
17-1,17,1
17-2,17,2
17-3,17,3
18-1,18,1
18-2,18,2
18-3,18,3
19-1,19,1
19-2,19,2
19-3,19,3
22-1,22,1
22-2,22,2
22-3,22,3
22-4,22,4
24-1,24,1
24-2,24,2
24-3,24,3
25-1,25,1
25-2,25,2
25-3,25,3
25-4,25,4
26-1,26,1
26-2,26,2
26-3,26,3
35-1,35,1
35-2,35,2
35-3,35,3
39-1,39,1
39-2,39,2
39-3,39,3
77-A,77,A
