DISTRICT_NUMBER,LOCATION,TELEPHONE_NUMBER
7,Bustleton Ave & Bowler St,686-3070
14,Haines St & Germantown Ave,686-3140
8,Academy Rd & Red Lion Rd,686-3080
2,Harbison Ave & Levick St,686-3020
35,N Broad St & Champlost St,686-3350
15,Harbison Ave & Levick St,686-3150
5,Ridge Ave & Cinnaminson St,686-3050
39,22nd St & Hunting Park Ave,686-3390
25,3901 Whitaker Ave,686-3250
22,17th St & Montgomery Ave,686-3220
24,3901 Whitaker Ave,686-3240
26,E Girard Ave & Montgomery Ave,686-3260
19,61st  St & Thompson St,686-3190
16,39th St & Lancaster Ave,686-3160
9,20th St & Pennsylvania Ave,686-3090
6,11th St & Winter St,686-3060
18,55th St & Pine St,686-3180
17,20th St & Federal St,686-3170
3,11th St & Wharton St,686-3030
12,65th St & Woodland Ave,686-3120
1,24th St & Wolf St,686-3010
0,Police Headquarters, 
0,Center City District, 
0,40th & Chestnut-U-Penn, 
