district,location,zip_code,phone_number,geometry
0,40th & Chestnut-U-Penn,19104, ,POINT (-75.20301991365838 39.95659762942059)
0,Police Headquarters,19130, ,POINT (-75.15235453186827 39.95454140904616)
0,Center City District,19106, ,POINT (-75.15194252402891 39.94925631109592)
1,24th St & Wolf St,19145,686-3010,POINT (-75.18693051929371 39.92406564303931)
2,Harbison Ave & Levick St,19149,686-3020,POINT (-75.06324525224497 40.03148814225549)
3,11th St & Wharton St,19147,686-3030,POINT (-75.16228708076623 39.93344859284341)
5,Ridge Ave & Cinnaminson St,19128,686-3050,POINT (-75.22439891562448 40.04019937139934)
6,11th St & Winter St,19107,686-3060,POINT (-75.15718780652371 39.95684063231094)
7,Bustleton Ave & Bowler St,19115,686-3070,POINT (-75.03269952752015 40.09097972126247)
8,Academy Rd & Red Lion Rd,19114,686-3080,POINT (-74.99729537553345 40.08010584072044)
9,20th St & Pennsylvania Ave,19130,686-3090,POINT (-75.17158585260546 39.96080483585775)
12,65th St & Woodland Ave,19142,686-3120,POINT (-75.23434225129185 39.92556098894912)
14,Haines St & Germantown Ave,19144,686-3140,POINT (-75.17700057441236 40.03843165587103)
15,Harbison Ave & Levick St,19149,686-3150,POINT (-75.06324525224497 40.03148814225549)
16,39th St & Lancaster Ave,19104,686-3160,POINT (-75.20015480221159 39.96193383895758)
17,20th St & Federal St,19146,686-3170,POINT (-75.17675550507633 39.93724421590071)
18,55th St & Pine St,19143,686-3180,POINT (-75.23217049493992 39.95429201932043)
19,61st  St & Thompson St,19151,686-3190,POINT (-75.24090441820329 39.97131826054206)
22,17th St & Montgomery Ave,19121,686-3220,POINT (-75.1624040944383 39.9807863244576)
24,3901 Whitaker Ave,19124,686-3240,POINT (-75.12249496409181 40.00874032905709)
25,3901 Whitaker Ave,19124,686-3250,POINT (-75.12249496409181 40.00874032905709)
26,E Girard Ave & Montgomery Ave,19125,686-3260,POINT (-75.12708186563236 39.97132290235508)
35,N Broad St & Champlost St,19141,686-3350,POINT (-75.14365339032658 40.04450198337808)
39,22nd St & Hunting Park Ave,19140,686-3390,POINT (-75.16425488717633 40.01090166363063)
